open,1,304.8cm,7821.861cm,0.0cm
open,1,-3962.4cm,-152.4cm,0.0cm
open,1,304.8cm,8460.062cm,0.0cm
open,1,1524.0cm,-152.4cm,0.0cm
open,1,-1341.12cm,792.48cm,0.0cm
open,1,-1828.8cm,792.48cm,0.0cm
open,1,304.8cm,6035.038cm,0.0cm
open,1,-2133.6cm,792.48cm,0.0cm
open,1,-3657.6cm,-152.4cm,0.0cm
open,1,914.4cm,1554.48cm,0.0cm
open,1,304.8cm,6385.56cm,0.0cm
open,1,304.8cm,4145.28cm,0.0cm
open,1,304.8cm,6690.36cm,0.0cm
open,1,914.4cm,1859.28cm,0.0cm
open,1,1981.2cm,-152.4cm,0.0cm
open,1,2133.6cm,-152.4cm,0.0cm
open,1,914.4cm,-914.4cm,0.0cm
open,1,914.4cm,4358.64cm,0.0cm
open,1,914.4cm,4663.44cm,0.0cm
open,1,304.8cm,5715.0cm,0.0cm
open,1,304.8cm,5120.638cm,0.0cm
open,1,914.4cm,3535.68cm,0.0cm
open,1,304.8cm,2758.44cm,0.0cm
open,1,304.8cm,2453.64cm,0.0cm
open,1,304.8cm,2164.078cm,0.0cm
open,1,-609.6cm,792.48cm,0.0cm
open,1,-914.4cm,792.48cm,0.0cm
open,1,304.8cm,5410.2cm,0.0cm
open,1,304.8cm,3383.28cm,0.0cm
open,1,304.8cm,1402.08cm,0.0cm
open,1,-3025.14cm,-152.4cm,0.0cm
open,1,-2560.32cm,792.48cm,0.0cm
open,1,-3329.94cm,-152.4cm,0.0cm
open,1,914.4cm,3840.48cm,0.0cm
open,1,914.4cm,-1219.2cm,0.0cm
open,1,4267.2cm,-152.4cm,0.0cm
open,1,4876.8cm,-152.4cm,0.0cm
open,1,1371.6cm,-152.4cm,0.0cm
